species,strain,bp,mb,fragments,coverage
Clostridium_pasteurianum,Clostridium_pasteurianum_GCF_001968885.1_ASM196888v1_genomic,4265470,4.26547,56872,1.9999671782945374
Erwinia_amylovora,Erwinia_amylovora_GCF_052055505.1_ASM5205550v1_genomic,3832316,3.832316,51097,1.999978603017079
Erwinia_amylovora,Erwinia_amylovora_GCF_052055525.1_ASM5205552v1_genomic,3832287,3.832287,51097,1.999993737421023
Bacillus_amyloliquefaciens,Bacillus_amyloliquefaciens_GCF_054131895.1_ASM5413189v1_genomic,3929780,3.92978,52397,1.999997455328288
Bacillus_amyloliquefaciens,Bacillus_amyloliquefaciens_GCF_051225615.1_ASM5122561v1_genomic,3997765,3.997765,53303,1.9999799888187524
Comamonas_testosteroni,Comamonas_testosteroni_GCF_050282485.1_ASM5028248v1_genomic,5095908,5.095908,67945,1.9999870484318005
Comamonas_testosteroni,Comamonas_testosteroni_GCF_046293035.1_ASM4629303v1_genomic,5622246,5.622246,74963,1.9999925296758627
Listeria_seeligeri,Listeria_seeligeri_GCF_039556175.1_ASM3955617v1_genomic,2880240,2.88024,38403,1.9999895842013165
Listeria_seeligeri,Listeria_seeligeri_GCF_037056055.1_ASM3705605v1_genomic,2865104,2.865104,38201,1.9999797564067483
Chitinophaga_pinensis,Chitinophaga_pinensis_GCA_943372105.1_JJ-LUK12B-28-6-m1-bin317_genomic,3749292,3.749292,49990,1.9999775957700814
Chitinophaga_pinensis,Chitinophaga_pinensis_GCA_943369745.1_JJ-LUK12B-28-6-mx-bin637_genomic,4849686,4.849686,64662,1.9999851536779907
Corynebacterium_diphtheriae,Corynebacterium_diphtheriae_GCF_051549835.1_ASM5154983v1_genomic,2505890,2.50589,33411,1.99994812222404
Corynebacterium_diphtheriae,Corynebacterium_diphtheriae_GCF_056238145.1_ASM5623814v1_genomic,2329460,2.32946,31059,1.9999699501171946
Entamoeba_histolytica,Entamoeba_histolytica_GCA_020283535.1_ASM2028353v1_genomic,11890266,11.890266,158536,1.99998889848217
Cryptosporidium_parvum,Cryptosporidium_parvum_GCA_045167005.1_ASM4516700v1_genomic,9053467,9.053467,120712,1.9999851990403235
Cryptosporidium_parvum,Cryptosporidium_parvum_GCA_048859185.1_ASM4885918v1_genomic,9152179,9.152179,122029,1.9999991258912222
Streptomyces_scabiei,Streptomyces_scabiei_GCF_055573275.1_ASM5557327v1_genomic,9402467,9.402467,125366,1.99999638392775
Streptomyces_scabiei,Streptomyces_scabiei_GCF_055573255.1_ASM5557325v1_genomic,9335841,9.335841,124477,1.9999858609417192
Entamoeba_histolytica,Entamoeba_histolytica_GCA_917563895.1_Assembly_1_genomic,25196438,25.196438,335952,1.9999969837006326
Halorubrum_lacusprofundi,Halorubrum_lacusprofundi_GCF_977573075.1_MarMAG_098191_genomic,2560950,2.56095,34146,2.0
Halorubrum_lacusprofundi,Halorubrum_lacusprofundi_GCF_977561085.1_MarMAG_098190_genomic,2688413,2.688413,35845,1.999971730533962
Acinetobacter_baumannii,Acinetobacter_baumannii_GCF_040149195.2_ASM4014919v2_genomic,4147529,4.147529,55300,1.9999860157698717
Acinetobacter_baumannii,Acinetobacter_baumannii_GCF_055386835.1_ASM5538683v1_genomic,4048519,4.048519,53980,1.9999906138516332
Ochrobactrum_anthropi,Ochrobactrum_anthropi_GCF_050990685.1_ASM5099068v1_genomic,4682619,4.682619,62434,1.9999705293127628
Dictyostelium_purpureum,Dictyostelium_purpureum_GCF_000190715.1_v1.0_genomic,32967225,32.967225,439563,2.0
Ochrobactrum_anthropi,Ochrobactrum_anthropi_GCF_050982715.1_ASM5098271v1_genomic,4832607,4.832607,64434,1.9999764102481332
Micromonas_pusilla,Micromonas_pusilla_GCA_043250685.1_ASM4325068v1_genomic,13374277,13.374277,178323,1.9999922238787189
Pseudomonas_protegens,Pseudomonas_protegens_GCF_051174895.1_ASM5117489v1_genomic,7053038,7.053038,94040,1.9999892245015551
Pseudomonas_protegens,Pseudomonas_protegens_GCF_050989795.1_ASM5098979v1_genomic,6852636,6.852636,91368,1.9999894930943363
Stenotrophomonas_maltophilia,Stenotrophomonas_maltophilia_GCF_054898965.1_ASM5489896v1_genomic,5014609,5.014609,66861,1.999986439620716
Stenotrophomonas_maltophilia,Stenotrophomonas_maltophilia_GCF_055382875.1_ASM5538287v1_genomic,4752040,4.75204,63360,1.9999831651248727
Micromonas_pusilla,Micromonas_pusilla_GCA_964007935.1_ERR598983_metabat2_112_genomic,18370017,18.370017,244933,1.9999954273313956
Pseudomonas_poae,Pseudomonas_poae_GCF_051013795.1_ASM5101379v1_genomic,5876921,5.876921,78358,1.999975837687796
Pseudomonas_poae,Pseudomonas_poae_GCF_040438945.1_ASM4043894v1_genomic,6397626,6.397626,85301,1.9999840565859899
Rhodopseudomonas_palustris,Rhodopseudomonas_palustris_GCF_045984445.1_ASM4598444v1_genomic,5990140,5.99014,79868,1.999986644719489
Rhodopseudomonas_palustris,Rhodopseudomonas_palustris_GCF_055396875.1_ASM5539687v1_genomic,5322233,5.322233,70963,1.9999969937430397
Enterococcus_faecium,Enterococcus_faecium_GCF_055814315.1_ASM5581431v1_genomic,3047464,3.047464,40632,1.9999579978631412
Enterococcus_faecium,Enterococcus_faecium_GCF_053154045.1_ASM5315404v1_genomic,3162089,3.162089,42161,1.9999911450942716
Bacillus_pumilus,Bacillus_pumilus_GCF_977007725.1_ASM97700772v1_genomic,3775567,3.775567,50340,1.9999645086420133
Bacillus_pumilus,Bacillus_pumilus_GCF_052144035.1_ASM5214403v1_genomic,3793137,3.793137,50575,1.99999367278324
Bacillus_cereus,Bacillus_cereus_GCF_055690345.1_ASM5569034v1_genomic,5431845,5.431845,72424,1.999983431044148
Bacillus_cereus,Bacillus_cereus_GCF_055690335.1_ASM5569033v1_genomic,5431846,5.431846,72424,1.9999830628482471
Thermococcus_kodakarensis,Thermococcus_kodakarensis_GCF_028471865.1_ASM2847186v1_genomic,2078475,2.078475,27713,2.0
Thermococcus_kodakarensis,Thermococcus_kodakarensis_GCF_000009965.1_ASM996v1_genomic,2088737,2.088737,27849,1.999940633981205
Methanopyrus_kandleri,Methanopyrus_kandleri_GCF_013329715.1_ASM1332971v1_genomic,1426055,1.426055,19014,1.9999929876477416
Methanopyrus_kandleri,Methanopyrus_kandleri_GCF_053992195.1_ASM5399219v1_genomic,1699154,1.699154,22655,1.999965865365941
Bacillus_coagulans,Bacillus_coagulans_GCF_050479025.1_ASM5047902v1_genomic,2911761,2.911761,38823,1.9999752726958016
Bacillus_coagulans,Bacillus_coagulans_GCF_050479125.1_ASM5047912v1_genomic,2956549,2.956549,39420,1.9999668532468091
Proteus_mirabilis,Proteus_mirabilis_GCF_051617075.1_ASM5161707v1_genomic,4398469,4.398469,58646,1.9999913606302557
Proteus_mirabilis,Proteus_mirabilis_GCF_051557175.1_ASM5155717v1_genomic,4581607,4.581607,61088,1.9999969443036034
Dickeya_dadantii,Dickeya_dadantii_GCF_051783845.1_ASM5178384v1_genomic,4810797,4.810797,64143,1.9999700673298
Dickeya_dadantii,Dickeya_dadantii_GCF_041897765.1_ASM4189776v1_genomic,5032965,5.032965,67106,1.9999940392989024
Plasmodium_falciparum,Plasmodium_falciparum_GCA_056151765.1_ASM5615176v1_genomic,22748410,22.74841,303312,1.9999991208176748
Giardia_lamblia,Giardia_lamblia_GCA_038381615.1_ASM3838161v1_genomic,11494083,11.494083,153254,1.9999942579151377
Giardia_lamblia,Giardia_lamblia_GCA_049639855.1_ASM4963985v1_genomic,11143942,11.143942,148585,1.9999879755296646
Marinobacter_hydrocarbonoclasticus,Marinobacter_hydrocarbonoclasticus_GCF_977659405.1_MarMAG_072687_genomic,3806071,3.806071,50747,1.9999758280914885
Plasmodium_falciparum,Plasmodium_falciparum_GCF_000002765.6_GCA_000002765_genomic,23292622,23.292622,310568,1.9999981109898233
Marinobacter_hydrocarbonoclasticus,Marinobacter_hydrocarbonoclasticus_GCF_977586385.1_MarMAG_072686_genomic,3338523,3.338523,44513,1.9999712447690192
Geobacter_lovleyi,Geobacter_lovleyi_GCF_050171295.1_ASM5017129v1_genomic,3838454,3.838454,51179,1.9999848897498838
Geobacter_lovleyi,Geobacter_lovleyi_GCF_036805505.1_ASM3680550v1_genomic,3691382,3.691382,49218,1.999982662319966
Cupriavidus_necator,Cupriavidus_necator_GCF_056236025.1_ASM5623602v1_genomic,8371674,8.371674,111622,1.999994266379699
Cupriavidus_necator,Cupriavidus_necator_GCF_051903385.1_ASM5190338v1_genomic,7415960,7.41596,98879,1.9999905608983868
Micrococcus_luteus,Micrococcus_luteus_GCF_055384525.1_ASM5538452v1_genomic,2588362,2.588362,34511,1.9999714104904955
Micrococcus_luteus,Micrococcus_luteus_GCF_055384015.1_ASM5538401v1_genomic,2585737,2.585737,34476,1.99997138146687
Staphylococcus_warneri,Staphylococcus_warneri_GCF_056393345.1_ASM5639334v1_genomic,2497625,2.497625,33301,1.9999599619638657
Staphylococcus_warneri,Staphylococcus_warneri_GCF_040409885.1_ASM4040988v1_genomic,2780266,2.780266,37070,1.9999884903099199
Clostridium_ljungdahlii,Clostridium_ljungdahlii_GCF_045257575.1_ASM4525757v1_genomic,4626110,4.62611,61681,1.9999848684964256
Clostridium_ljungdahlii,Clostridium_ljungdahlii_GCF_045257545.1_ASM4525754v1_genomic,4627396,4.627396,61698,1.9999801184078476
Rhodococcus_equi,Rhodococcus_equi_GCF_055384575.1_ASM5538457v1_genomic,5204626,5.204626,69395,1.999999615726471
Rhodococcus_equi,Rhodococcus_equi_GCF_050989485.1_ASM5098948v1_genomic,5242856,5.242856,69904,1.9999786375975233
Neorhizobium_galegae,Neorhizobium_galegae_GCF_030812395.1_ASM3081239v1_genomic,6498845,6.498845,86651,1.9999938450601606
Neorhizobium_galegae,Neorhizobium_galegae_GCF_024384645.1_ASM2438464v1_genomic,6926147,6.926147,92348,1.9999864282406943
Burkholderia_pseudomallei,Burkholderia_pseudomallei_GCF_965199385.1_21-7286_1R_1_genomic,7210132,7.210132,96135,1.999998058287976
Burkholderia_pseudomallei,Burkholderia_pseudomallei_GCF_965199395.1_21-7286_3R_1_genomic,7225637,7.225637,96341,1.9999828388832708
Chromohalobacter_salexigens,Chromohalobacter_salexigens_GCF_048541555.1_BU_D23_genomic,3633307,3.633307,48444,1.9999961467610636
Chromohalobacter_salexigens,Chromohalobacter_salexigens_GCF_050856275.1_ASM5085627v1_genomic,3809067,3.809067,50787,1.9999779473556123
Halobacterium_salinarum,Halobacterium_salinarum_GCF_037094595.1_ASM3709459v1_genomic,2471266,2.471266,32950,1.999987051171343
Halobacterium_salinarum,Halobacterium_salinarum_GCF_037482175.1_Halobacterium_salinarum_KBTZ02_genomic,2283916,2.283916,30452,1.9999859889768274
Acidovorax_citrulli,Acidovorax_citrulli_GCF_052605665.1_ASM5260566v1_genomic,5435213,5.435213,72469,1.9999860171073331
Acidovorax_citrulli,Acidovorax_citrulli_GCF_054178175.1_ASM5417817v1_genomic,4714945,4.714945,62865,1.9999703071827986
Amycolatopsis_mediterranei,Amycolatopsis_mediterranei_GCF_040299605.1_ASM4029960v1_genomic,9595092,9.595092,127934,1.9999912455242743
Cyanobacterium_aponinum,Cyanobacterium_aponinum_GCF_045345185.1_ASM4534518v1_genomic,4306293,4.306293,57417,1.9999916401415323
Amycolatopsis_mediterranei,Amycolatopsis_mediterranei_GCF_042656605.1_ASM4265660v1_genomic,9994827,9.994827,133264,1.9999945972051343
Cyanobacterium_aponinum,Cyanobacterium_aponinum_GCF_038630775.1_ASM3863077v1_genomic,4417119,4.417119,58894,1.999968757916642
Bacillus_toyonensis,Bacillus_toyonensis_GCF_054072025.1_ASM5407202v1_genomic,6283741,6.283741,83783,1.9999949074922088
Bacillus_toyonensis,Bacillus_toyonensis_GCF_055562355.1_ASM5556235v1_genomic,6042833,6.042833,80571,1.9999973522352843
Campylobacter_jejuni,Campylobacter_jejuni_GCF_055386425.1_ASM5538642v1_genomic,1691630,1.69163,22555,1.9999940885418206
Campylobacter_jejuni,Campylobacter_jejuni_GCF_055390245.1_ASM5539024v1_genomic,1630877,1.630877,21745,1.9999975473318956
Rickettsia_prowazekii,Rickettsia_prowazekii_GCF_000385475.1_P_2008_04_01_09_56_31_runAssembly_genomic,1109257,1.109257,14790,1.999987378939236
Rickettsia_prowazekii,Rickettsia_prowazekii_GCF_000385495.1_P_2008_03_27_11_29_25_runAssembly_genomic,1113970,1.11397,14852,1.9998743233659793
Halobacteriovorax_marinus,Halobacteriovorax_marinus_GCF_048265685.1_ASM4826568v1_genomic,3325270,3.32527,44336,1.9999578981556385
Halobacteriovorax_marinus,Halobacteriovorax_marinus_GCF_002442875.1_ASM244287v1_genomic,3393238,3.393238,45243,1.9999923377022184
Nocardiopsis_dassonvillei,Nocardiopsis_dassonvillei_GCF_964273245.1_SUDANB114_genomic,6561485,6.561485,87486,1.9999893316833004
Nocardiopsis_dassonvillei,Nocardiopsis_dassonvillei_GCF_964273065.1_SUDANB121_genomic,6710719,6.710719,89476,1.9999943374174958
Pyrococcus_furiosus,Pyrococcus_furiosus_GCF_000007305.1_ASM730v1_genomic,1908256,1.908256,25443,1.999967509600389
Pyrococcus_furiosus,Pyrococcus_furiosus_GCF_000275605.1_ASM27560v1_genomic,1909827,1.909827,25464,1.999971725187674
Picrophilus_torridus,Picrophilus_torridus_GCF_000008265.1_ASM826v1_genomic,1545895,1.545895,20611,1.999909437574997
Serratia_liquefaciens,Serratia_liquefaciens_GCF_051951635.1_ASM5195163v1_genomic,5122823,5.122823,68304,1.9999910205759597
Serratia_liquefaciens,Serratia_liquefaciens_GCF_048537415.1_GTA-SR02_genomic,5540843,5.540843,73877,1.9999754549984543
Ostreococcus_lucimarinus,Ostreococcus_lucimarinus_GCA_977930675.1_ERR599146_metabat2_28_concoct_125_genomic,12242237,12.242237,163229,1.9999898711322122
Ostreococcus_lucimarinus,Ostreococcus_lucimarinus_GCA_977930515.1_ERR598949_metabat2_6_concoct_191_genomic,12112888,12.112888,161505,1.9999978535259304
Methylobacterium_radiotolerans,Methylobacterium_radiotolerans_GCF_054331535.1_ASM5433153v1_genomic,7032522,7.032522,93766,1.9999795237042983
Methylobacterium_radiotolerans,Methylobacterium_radiotolerans_GCF_053346255.1_ASM5334625v1_genomic,6476928,6.476928,86359,1.9999990736349085
Lactobacillus_brevis,Lactobacillus_brevis_GCF_965814455.1_LBVUB6DM1_assembly_genomic,2685505,2.685505,35806,1.999959039361312
Lactobacillus_brevis,Lactobacillus_brevis_GCF_965286105.1_LBVUBH025M21_assembly_genomic,2403461,2.403461,32046,1.9999908465333949
Ralstonia_pickettii,Ralstonia_pickettii_GCF_053622495.1_ASM5362249v1_genomic,5015424,5.015424,66872,1.9999904295230073
Ralstonia_pickettii,Ralstonia_pickettii_GCF_053622635.1_ASM5362263v1_genomic,5817243,5.817243,77563,1.9999938115014277
Francisella_philomiragia,Francisella_philomiragia_GCF_041226935.1_ASM4122693v1_genomic,1950300,1.9503,26004,2.0
Francisella_philomiragia,Francisella_philomiragia_GCF_041226965.1_ASM4122696v1_genomic,1982741,1.982741,26436,1.999958643110724
Nitrososphaera_gargensis,Nitrososphaera_gargensis_GCA_036678105.1_ASM3667810v1_genomic,1894098,1.894098,25254,1.9999493162444604
Klebsiella_variicola,Klebsiella_variicola_GCF_055824525.1_ASM5582452v1_genomic,5522531,5.522531,73633,1.9999797194438564
Klebsiella_variicola,Klebsiella_variicola_GCF_053165925.1_ASM5316592v1_genomic,5527445,5.527445,73699,1.9999927633834438
Nitrososphaera_viennensis,Nitrososphaera_viennensis_GCF_025244945.1_ASM2524494v1_genomic,2522325,2.522325,33631,2.0
Nitrososphaera_viennensis,Nitrososphaera_viennensis_GCF_024760425.1_ASM2476042v1_genomic,2521342,2.521342,33617,1.9999468536993394
Ostreococcus_tauri,Ostreococcus_tauri_GCA_905339615.1_AP0986_ms_genomic,13845333,13.845333,184604,1.9999952330507327
Rhizobium_leguminosarum,Rhizobium_leguminosarum_GCF_055391465.1_ASM5539146v1_genomic,8023637,8.023637,106981,1.999984545661774
Ostreococcus_tauri,Ostreococcus_tauri_GCA_905339685.1_AP0985_ms_genomic,13800296,13.800296,184003,1.9999897103656328
Rhizobium_leguminosarum,Rhizobium_leguminosarum_GCF_050779915.1_ASM5077991v1_genomic,7309812,7.309812,97464,1.999996716741826
Burkholderia_gladioli,Burkholderia_gladioli_GCF_055397955.1_ASM5539795v1_genomic,8450160,8.45016,112668,1.999985799085461
Propionibacterium_freudenreichii,Propionibacterium_freudenreichii_GCF_965286265.1_PFJ117_assembly_genomic,2621862,2.621862,34958,1.9999908462001432
Propionibacterium_freudenreichii,Propionibacterium_freudenreichii_GCF_050498605.1_ASM5049860v1_genomic,2655380,2.65538,35405,1.9999962340606618
Burkholderia_gladioli,Burkholderia_gladioli_GCF_055386035.1_ASM5538603v1_genomic,8890888,8.890888,118545,1.9999970756576846
Methylobacterium_populi,Methylobacterium_populi_GCF_051554265.1_ASM5155426v1_genomic,5409159,5.409159,72122,1.9999966723107974
Methylobacterium_populi,Methylobacterium_populi_GCF_977887345.1_IWN022_genomic,5169091,5.169091,68921,1.9999938093564227
Brucella_abortus,Brucella_abortus_GCF_050497595.1_ASM5049759v1_genomic,3295706,3.295706,43942,1.9999660163861703
Brucella_abortus,Brucella_abortus_GCF_050498085.1_ASM5049808v1_genomic,3295706,3.295706,43942,1.9999660163861703
Rahnella_aquatilis,Rahnella_aquatilis_GCF_042713935.1_ASM4271393v1_genomic,5538857,5.538857,73851,1.9999884452694843
Desulforudis_audaxviator,Desulforudis_audaxviator_GCA_020725505.1_ASM2072550v1_genomic,2077804,2.077804,27704,1.9999961497812113
Rahnella_aquatilis,Rahnella_aquatilis_GCF_021498265.1_ASM2149826v1_genomic,6148824,6.148824,81984,1.9999921936292209
Desulforudis_audaxviator,Desulforudis_audaxviator_GCF_000018425.1_ASM1842v1_genomic,2349476,2.349476,31326,1.999977867405328
Nitrosocosmicus_franklandus,Nitrosocosmicus_franklandus_GCA_937896355.1_SRR6227243_bin.116_CONCOCT_v1.1_MAG_genomic,2865595,2.865595,38207,1.999951144526704
Geobacillus_thermodenitrificans,Geobacillus_thermodenitrificans_GCF_050480025.1_ASM5048002v1_genomic,3576443,3.576443,47685,1.9999619733908802
Geobacillus_thermodenitrificans,Geobacillus_thermodenitrificans_GCF_050479945.1_ASM5047994v1_genomic,3533131,3.533131,47108,1.9999824518253073
Shewanella_putrefaciens,Shewanella_putrefaciens_GCF_050848575.1_ASM5084857v1_genomic,4803340,4.80334,64044,1.9999833449224915
Shewanella_putrefaciens,Shewanella_putrefaciens_GCF_053763405.1_ASM5376340v1_genomic,4353238,4.353238,58043,1.9999940274342913
Giardia_intestinalis,Giardia_intestinalis_GCA_049639855.1_ASM4963985v1_genomic,11143942,11.143942,148585,1.9999879755296646
Mycobacterium_intracellulare,Mycobacterium_intracellulare_GCF_040970235.1_ASM4097023v1_genomic,5768492,5.768492,76913,1.999994105911909
Giardia_intestinalis,Giardia_intestinalis_GCA_038381615.1_ASM3838161v1_genomic,11494083,11.494083,153254,1.9999942579151377
Mycobacterium_intracellulare,Mycobacterium_intracellulare_GCF_040970175.1_ASM4097017v1_genomic,5523812,5.523812,73650,1.9999775517342009
Xanthomonas_euvesicatoria,Xanthomonas_euvesicatoria_GCF_047715415.1_ASM4771541v1_genomic,5183241,5.183241,69109,1.999974533308407
Xanthomonas_euvesicatoria,Xanthomonas_euvesicatoria_GCF_042448555.1_ASM4244855v1_genomic,5354628,5.354628,71395,1.9999988794739803
Methanobrevibacter_ruminantium,Methanobrevibacter_ruminantium_GCF_051877175.1_ASM5187717v1_genomic,1903959,1.903959,25386,1.999990546014909
Methanobrevibacter_ruminantium,Methanobrevibacter_ruminantium_GCF_029012245.1_ASM2901224v1_genomic,1940404,1.940404,25872,1.9999958771472333
Citrobacter_koseri,Citrobacter_koseri_GCF_055383465.1_ASM5538346v1_genomic,4705687,4.705687,62742,1.9999842743471887
Citrobacter_koseri,Citrobacter_koseri_GCF_052605815.1_ASM5260581v1_genomic,4799402,4.799402,63992,1.9999991665628343
Pseudomonas_mendocina,Pseudomonas_mendocina_GCF_055700775.1_ASM5570077v1_genomic,5348258,5.348258,71310,1.9999970083716978
Pseudomonas_mendocina,Pseudomonas_mendocina_GCF_054977385.1_ASM5497738v1_genomic,4752595,4.752595,63367,1.9999705424089367
Mesorhizobium_loti,Mesorhizobium_loti_GCF_014189435.1_ASM1418943v1_genomic,8330599,8.330599,111074,1.9999882361400423
Mesorhizobium_loti,Mesorhizobium_loti_GCF_013170845.1_ASM1317084v1_genomic,7207166,7.207166,96095,1.9999886224349488
Paenibacillus_mucilaginosus,Paenibacillus_mucilaginosus_GCF_028751605.1_ASM2875160v1_genomic,8674586,8.674586,115661,1.999997463855912
Paenibacillus_mucilaginosus,Paenibacillus_mucilaginosus_GCF_050433645.1_ASM5043364v1_genomic,8985665,8.985665,119808,1.9999855325120623
Pseudomonas_brassicacearum,Pseudomonas_brassicacearum_GCF_049913085.1_ASM4991308v1_genomic,6713799,6.713799,89517,1.9999928505455704
Pseudomonas_brassicacearum,Pseudomonas_brassicacearum_GCF_050627145.1_18b10_bc2095_genomic,6739771,6.739771,89863,1.9999863496845813
Bacillus_licheniformis,Bacillus_licheniformis_GCF_977007745.1_ASM97700774v1_genomic,4438024,4.438024,59173,1.999977918100488
Bacillus_licheniformis,Bacillus_licheniformis_GCF_052142875.1_ASM5214287v1_genomic,4229831,4.229831,56397,1.9999735214007368
Methanosarcina_acetivorans,Methanosarcina_acetivorans_GCF_000007345.1_ASM734v1_genomic,5751492,5.751492,76686,1.9999853950940034
Methanosarcina_acetivorans,Methanosarcina_acetivorans_GCA_003249335.1_ASM324933v1_genomic,1178964,1.178964,15719,1.9999338402190399
Haloterrigena_turkmenica,Haloterrigena_turkmenica_GCF_000025325.1_ASM2532v1_genomic,5440782,5.440782,72543,1.9999790471296222
Nocardia_cyriacigeorgica,Nocardia_cyriacigeorgica_GCF_055189495.1_ASM5518949v1_genomic,6536507,6.536507,87153,1.9999902088378396
Nocardia_cyriacigeorgica,Nocardia_cyriacigeorgica_GCF_055189515.1_ASM5518951v1_genomic,6344013,6.344013,84586,1.9999801387544445
Myxococcus_stipitatus,Myxococcus_stipitatus_GCF_021412625.1_ASM2141262v1_genomic,10122657,10.122657,134968,1.9999887381346617
Myxococcus_stipitatus,Myxococcus_stipitatus_GCF_038561935.1_ASM3856193v1_genomic,10166364,10.166364,135551,1.9999923276404425
Pseudomonas_syringae,Pseudomonas_syringae_GCF_055385345.1_ASM5538534v1_genomic,6582597,6.582597,87767,1.9999781241355046
Pseudomonas_syringae,Pseudomonas_syringae_GCF_054132535.1_ASM5413253v1_genomic,6012225,6.012225,80163,2.0
Sulfolobus_islandicus,Sulfolobus_islandicus_GCF_028472005.1_ASM2847200v1_genomic,2656591,2.656591,35421,1.9999879544875367
Sulfolobus_islandicus,Sulfolobus_islandicus_GCF_017857535.1_ASM1785753v1_genomic,2186892,2.186892,29158,1.999961589324027
Sulfolobus_acidocaldarius,Sulfolobus_acidocaldarius_GCF_007996945.1_ASM799694v1_genomic,2221322,2.221322,29617,1.9999576828573256
Sulfolobus_acidocaldarius,Sulfolobus_acidocaldarius_GCF_028472365.1_ASM2847236v1_genomic,2225130,2.22513,29668,1.9999730352833318
Burkholderia_thailandensis,Burkholderia_thailandensis_GCF_055810255.1_ASM5581025v1_genomic,6544388,6.544388,87258,1.9999883869966144
Burkholderia_thailandensis,Burkholderia_thailandensis_GCF_052146275.1_ASM5214627v1_genomic,6930450,6.93045,92406,2.0
Flavobacterium_johnsoniae,Flavobacterium_johnsoniae_GCF_040538795.1_ASM4053879v1_genomic,5721381,5.721381,76285,1.9999979026042838
Flavobacterium_johnsoniae,Flavobacterium_johnsoniae_GCF_050990865.1_ASM5099086v1_genomic,5683317,5.683317,75777,1.9999852198988723
Pantoea_ananatis,Pantoea_ananatis_GCF_043540155.1_ASM4354015v1_genomic,4945155,4.945155,65935,1.9999878669121596
Pantoea_ananatis,Pantoea_ananatis_GCF_040224035.2_ASM4022403v2_genomic,4795366,4.795366,63938,1.9999933268910026
Legionella_longbeachae,Legionella_longbeachae_GCF_019930685.1_ASM1993068v1_genomic,4165456,4.165456,55539,1.9999851156752106
Legionella_longbeachae,Legionella_longbeachae_GCF_964277565.1_Llongbeacheae_LeCo_19_genomic,4154333,4.154333,55391,1.9999961485995466
Pseudomonas_moraviensis,Pseudomonas_moraviensis_GCF_976997405.1_ASM97699740v1_genomic,5936006,5.936006,79146,1.999981132094543
Pseudomonas_moraviensis,Pseudomonas_moraviensis_GCF_976997555.1_ASM97699755v1_genomic,6042709,6.042709,80569,1.9999887467690403
Achromobacter_xylosoxidans,Achromobacter_xylosoxidans_GCF_055387535.1_ASM5538753v1_genomic,6652480,6.65248,88699,1.9999834648131223
Achromobacter_xylosoxidans,Achromobacter_xylosoxidans_GCF_977010995.1_ASM97701099v1_genomic,6428212,6.428212,85709,1.9999884882452539
Haloquadratum_walsbyi,Haloquadratum_walsbyi_GCF_903989535.1_D2T31_genomic,2732916,2.732916,36438,1.9999516999424791
Haloquadratum_walsbyi,Haloquadratum_walsbyi_GCF_937121375.1_ERR2683643_bin.15_CONCOCT_v1.1_MAG_genomic,2924720,2.92472,38996,1.9999863234771191
Xanthomonas_campestris,Xanthomonas_campestris_GCF_051295315.1_ASM5129531v1_genomic,5189114,5.189114,69188,1.9999946040884822
Xanthomonas_campestris,Xanthomonas_campestris_GCF_052656955.1_ASM5265695v1_genomic,5120760,5.12076,68276,1.9999765659784876
Agrobacterium_tumefaciens,Agrobacterium_tumefaciens_GCF_013317955.2_ASM1331795v2_genomic,6225202,6.225202,83002,1.9999832937148063
Agrobacterium_tumefaciens,Agrobacterium_tumefaciens_GCF_053521945.1_ASM5352194v1_genomic,5314145,5.314145,70855,1.9999924729189738
Corallococcus_coralloides,Corallococcus_coralloides_GCF_044792175.1_ASM4479217v1_genomic,9655077,9.655077,128734,1.9999944070875872
Methanocaldococcus_jannaschii,Methanocaldococcus_jannaschii_GCF_000091665.1_ASM9166v1_genomic,1739927,1.739927,23199,1.9999977010529753
Corallococcus_coralloides,Corallococcus_coralloides_GCF_013116665.1_ASM1311666v1_genomic,10054126,10.054126,134055,1.9999998010766924
Azotobacter_vinelandii,Azotobacter_vinelandii_GCF_036687365.1_ASM3668736v1_genomic,5378652,5.378652,71715,1.999989960309758
Azotobacter_vinelandii,Azotobacter_vinelandii_GCF_055386615.1_ASM5538661v1_genomic,5379020,5.37902,71720,1.9999925637011946
Pseudomonas_putida,Pseudomonas_putida_GCA_982345375.1_pQBR30_genomic,310323,0.310323,4137,1.999690644908692
Pseudomonas_putida,Pseudomonas_putida_GCA_982345415.1_pQBR4_genomic,525650,0.52565,7008,1.9998097593455721
